,Scope,Node Name,Affinity,RFP App Name,Instance,Entity Type,Target Region,Current Region,CPU,Avg CPU Load,Peak CPU Load,CPU Speed (MHz),Processing Type,Mem (MB),Avg % Mem Used,Peak Mem Used,Storage Type,Alloc Size (GB),Used Size (GB),Platform,OS Ver,DB Rel/Ver,Operational Backups Policy,Resilliency / DR Classification,Current State Services,DB Instance Count,Shared Env App Count,Other Software,Validated Server,Encryption,SOX Critical,External Access,RDS,cores_calc,calc_family,mem_cpu_ratio,AWS_Region,AWS_OS,ec2_instance_type,one_hr_rate,one_yr_rate,three_yr_rate,AWS_DB,ebs_month_rate
0,Primary,GADC-AADC02,AADC,-,,Virtual,NA,,4,0.02,0.37,"2,700", -   ,16384.0,0.89,15.28,Standard,0,0,WINDOWS,windows_2012_r2_server_standard_edition_x64,SQL 2014 SP2 (12.0.5000.0),In Region Backup,0,HP Internal Use,1,0,,N,Y,N,,True,2.0,r,7.64,us-east-1,Windows,db.r3.large,1.02,6573.6,16452.0,SQL Server,0.0
1,Primary,GADC-AADCDEV03,AADC,0,,Virtual,EU,EMEA,2,0.0,0.0,"2,400", AIS Core Std ,4096.0,0.0,4.096,Economy,188930,25086,WINDOWS,6.3.9600,,Secondary Region Backup,0,Prod,,0,,N,Y,0,,False,1.0,m,4.096,eu-central-1,Windows,m4.large,0.212,1476.0,3700.0,,3787.986
2,Primary,WYN-AADC01,AADC,0,,Virtual,EU,EMEA,2,0.08,1.0,"2,700", AIS Core Std ,32768.0,0.18,6.34,Standard,598530,20198,WINDOWS,6.3.9600,,Secondary Region Backup,0,Prod,,0,,N,Y,0,,False,3.0,c,2.1133333333333333,eu-central-1,Windows,c4.xlarge,0.411,2891.0,7121.0,,3049.8979999999997
3,Primary,WYN-AADC02,AADC,0,,Virtual,EU,EMEA,8,0.03,0.99,"2,700", AIS Core Std ,16384.0,0.71,15.37,Standard,2134522,392215,WINDOWS,6.3.9600,SQL 2014 SP2 (12.0.5000.0),Secondary Region Backup,0,Prod,1,0,,N,Y,N,,True,8.0,c,1.92125,eu-central-1,Windows,db.m3.2xlarge,2.89,14926.08,35345.0,SQL Server,45496.94
4,Primary,BDC-AADSYNC01,AADSYN,0,,Virtual,NA,NA,4,0.03,0.97,"2,699", AIS Core Std ,12288.0,0.46,5.92,Economy,409589,19684,WINDOWS,6.3.9600,,In Region Backup,0,Prod,,0,,N,Y,0,,False,4.0,c,1.48,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,2972.284
5,Primary,BDC-MES004,AccuTarget,AccuTarget,AccuTarget::AccuTarget 3.2::AccuTarget Express Production,Virtual,NA,NA,4,0.05,0.82,"2,700", AIS Core Adv ,12288.0,0.72,10.85,Economy,365550,91999,WINDOWS,6.2.9200,,In Region Backup,N,Prod,,0,,N,Y,0,,False,4.0,c,2.7125,us-east-1,Windows,c5.2xlarge,0.708,4975.0,12930.0,,13891.849
6,Primary,BDC-ACLAXG001,ACL AX (AuditExchange),ACL AX (AuditExchange),ACL AX (AuditExchange)::ACL AX (AuditExchange) Release 1.0::ACL AX - Global (Prod),Virtual,NA,NA,4,0.0,0.0,"2,133", -   ,8192.0,0.0,8.192,Economy,337910,203075,WINDOWS,6.0.6002,,In Region Backup,N,Prod,,0,,N,Y,0,,False,1.0,r,8.192,us-east-1,Windows,r4.large,0.225,1491.0,3732.0,,30664.325
7,Primary,BDC-ACLG001,ACL AX (AuditExchange),ACL AX (AuditExchange),ACL AX (AuditExchange)::ACL AX (AuditExchange) Release 1.0::ACL AX - Global (Prod)-SSRS,Virtual,NA,NA,4,0.0,0.0,"2,700", -   ,16384.0,0.0,16.384,Economy,2170853,1393405,WINDOWS,6.0.6002,,In Region Backup,0,Prod,,0,,N,Y,0,,False,1.0,r,16.384,us-east-1,Windows,r4.large,0.225,1491.0,3732.0,,210404.155
8,Primary,BDC-ACLG002,ACL AX (AuditExchange),ACL AX (AuditExchange),ACL AX (AuditExchange)::ACL AX (AuditExchange) Release 1.0::ACL AX - Global (Prod)-SSRS,Virtual,NA,NA,4,0.0,0.0,"2,699", -   ,16384.0,0.0,16.384,Economy,2181093,1623521,WINDOWS,6.0.6002,,Minimal,0,Prod,,0,,N,Y,0,,False,1.0,r,16.384,us-east-1,Windows,r4.large,0.225,1491.0,3732.0,,245151.671
9,Primary,BDC-ACLG003,ACL AX (AuditExchange),ACL AX (AuditExchange),ACL AX (AuditExchange)::ACL AX (AuditExchange) Release 1.0::ACL AX - Global (Prod)-SSRS,Virtual,NA,NA,4,0.0,0.0,"2,700", -   ,16384.0,0.0,16.384,Economy,2150373,1413295,WINDOWS,6.0.6002,,Minimal,0,Prod,,0,,N,Y,0,,False,1.0,r,16.384,us-east-1,Windows,r4.large,0.225,1491.0,3732.0,,213407.54499999998
