App ID,VM,Host Environment,OS,# of CPUs,Memory,Disk (GB),DB Instance Count,PeakCPU%
5982,ADMINNET,Production,Microsoft Windows Server 2003 (32-bit),1,2,84.02,,100
6161,ADMINNET,Production,Microsoft Windows Server 2003 (32-bit),1,2,84.02,,100
9265,ausdet01dccp010,Production,Microsoft Windows Server 2008 R2 (64-bit),2,4,70,,100
9265,ausdet01dccp020,Production,Microsoft Windows Server 2008 R2 (64-bit),2,4,70,,100
6535,CLH001CTID01,Development,Microsoft Windows Server 2008 R2 (64-bit),2,4,172,,100
5229,CLH001datd02,Development,SUSE Linux Enterprise 10 (32-bit),2,4,84,,100
5495,CLH001OBLD01,Development,Microsoft Windows Server 2003 (32-bit),2,8,136.01,,100
5855,CLH001PAIT01,Test,SUSE Linux Enterprise 10 (32-bit),1,2,159,,100
7161,CLH001PAIT01,Test,SUSE Linux Enterprise 10 (32-bit),1,2,159,,100
5896,CLH001PDMT01,Test,Microsoft Windows Server 2008 R2 (64-bit),2,16,236,,100
10295,clh004idmt01,Test,Microsoft Windows Server 2008 R2 (64-bit),2,8,241,,100
10295,clh004idmt02,Test,Microsoft Windows Server 2008 R2 (64-bit),2,8,205,,100
10295,clh004idmt03,Test,Microsoft Windows Server 2008 R2 (64-bit),4,16,253,,100
10295,clh004idmt04,Test,Microsoft Windows Server 2008 R2 (64-bit),4,16,253,,100
3,CLMWD021,Development,Microsoft Windows Server 2003 (32-bit),1,4,223.04,,100
255,CLMWD021,Development,Microsoft Windows Server 2003 (32-bit),1,4,223.04,,100
496,CLMWD021,Development,Microsoft Windows Server 2003 (32-bit),1,4,223.04,,100
3963,CLMWD021,Development,Microsoft Windows Server 2003 (32-bit),1,4,223.04,,100
6015,clmwd024,Development,Microsoft Windows Server 2003 (32-bit),1,4,224,,100
6834,clmwd024,Development,Microsoft Windows Server 2003 (32-bit),1,4,224,,100
6891,COMWT005,Test,Microsoft Windows Server 2008 R2 (64-bit),4,8,245,,100
7157,COMWT005,Test,Microsoft Windows Server 2008 R2 (64-bit),4,8,245,,100
6891,COMWT006,Test,Microsoft Windows Server 2008 R2 (64-bit),4,8,723,,100
7157,COMWT006,Test,Microsoft Windows Server 2008 R2 (64-bit),4,8,723,,100
6891,CTCD001CPCD01,Development,Microsoft Windows Server 2008 R2 (64-bit),4,8,168,,100
6891,CTCD001CPCD02,Development,Microsoft Windows Server 2008 R2 (64-bit),4,8,294,,100
5615,CTCD001EPMP01,Production,Microsoft Windows Server 2008 (64-bit),4,16,131.99,,100
5615,CTCD001EPMP02,Production,Microsoft Windows Server 2008 (64-bit),4,24,2020,,100
5615,CTCD001EPMP03,Production,Microsoft Windows Server 2008 (64-bit),4,16,164.01,,100
7085,CTCD001GDMD01,Development,Red Hat Enterprise Linux 5 (64-bit),2,6,47.7,,100
7161,CTCD001GDMD01,Development,Red Hat Enterprise Linux 5 (64-bit),2,6,47.7,,100
5855,ctcd001pait01,Test,Red Hat Enterprise Linux 5 (64-bit),2,4,41,,100
7161,ctcd001pait01,Test,Red Hat Enterprise Linux 5 (64-bit),2,4,41,,100
5855,ctcd001pait02,Test,Red Hat Enterprise Linux 5 (64-bit),2,4,50,,100
7161,ctcd001pait02,Test,Red Hat Enterprise Linux 5 (64-bit),2,4,50,,100
5855,ctcd001pait03,Test,Red Hat Enterprise Linux 5 (64-bit),2,4,149,,100
7161,ctcd001pait03,Test,Red Hat Enterprise Linux 5 (64-bit),2,4,149,,100
3968,CTCH001JTDP01,Production,Microsoft Windows Server 2008 R2 (64-bit),2,4,610,,100
4944,CTCH001JTDP01,Production,Microsoft Windows Server 2008 R2 (64-bit),2,4,610,,100
5896,CTCH001JTDP01,Production,Microsoft Windows Server 2008 R2 (64-bit),2,4,610,,100
9265,fusdet01dccp010,Production,Microsoft Windows Server 2008 R2 (64-bit),2,4,70,,100
9265,fusdet01dccp020,Production,Microsoft Windows Server 2008 R2 (64-bit),2,4,70,,100
5057,HRDLNMP002,Production,SUSE Linux Enterprise 10 (64-bit),4,6,327,,100
7218,IBDSDCP01,Production,Linux 2.6.32.8 Fedora release 12 (Constantine),8,24,160,,100
7218,IBGODDP06,Production,Linux 2.6.32.8 Fedora release 12 (Constantine),4,8,160,,100
7218,IBGODDP11,Production,Linux 2.6.32.8 Fedora release 12 (Constantine),2,2,160,,100
7218,IBGODDP12,Production,Linux 2.6.32.8 Fedora release 12 (Constantine),2,2,55,,100
7218,IBGSDCP05,Production,Linux 2.6.32.8 Fedora release 12 (Constantine),4,8,160,,100
7218,IBGSDCP06,Production,Linux 2.6.32.8 Fedora release 12 (Constantine),4,8,160,,100
7218,IBGSDCP11,Production,Linux 2.6.32.8 Fedora release 12 (Constantine),2,2,160,,100
7218,IBRSDCP02,Production,Linux 2.6.32.8 Fedora release 12 (Constantine),4,8,555,,100
5057,LNCLLNW06,Production,Microsoft Windows Server 2008 R2 (64-bit),2,4,149,,100
5057,LNDART,Production,Microsoft Windows Server 2008 R2 (64-bit),1,4,90,,100
5057,LNDART2,Production,Microsoft Windows Server 2008 R2 (64-bit),1,4,90,,100
5057,LNMANDARIN,Test,Microsoft Windows Server 2008 R2 (64-bit),2,8,98,,100
5057,LNMSDIRSYNC,Production,Microsoft Windows Server 2008 R2 (64-bit),1,4,106,,100
51,LNSCTCD201,Production,Microsoft Windows Server 2008 R2 (64-bit),3,6,310,,100
341,LNSCTCD201,Production,Microsoft Windows Server 2008 R2 (64-bit),3,6,310,,100
5057,LNSCTCD201,Production,Microsoft Windows Server 2008 R2 (64-bit),3,6,310,,100
6542,LNSCTCD201,Production,Microsoft Windows Server 2008 R2 (64-bit),3,6,310,,100
9085,LNSCTCD201,Production,Microsoft Windows Server 2008 R2 (64-bit),3,6,310,,100
10555,LNSCTCD201,Production,Microsoft Windows Server 2008 R2 (64-bit),3,6,310,,100
10558,LNSCTCD201,Production,Microsoft Windows Server 2008 R2 (64-bit),3,6,310,,100
5057,LNSCTCDA01,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,585,,100
6795,LNSCTCDA01,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,585,,100
7359,LNSCTCDA01,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,585,,100
7400,LNSCTCDA01,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,585,,100
5057,LNSCTCDA02,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,585,,100
6795,LNSCTCDA02,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,585,,100
7359,LNSCTCDA02,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,585,,100
7400,LNSCTCDA02,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,585,,100
5057,LNSCTCDA03,Production,Microsoft Windows Server 2008 R2 (64-bit),4,6,309,,100
6679,LNSCTCDA03,Production,Microsoft Windows Server 2008 R2 (64-bit),4,6,309,,100
7400,LNSCTCDA03,Production,Microsoft Windows Server 2008 R2 (64-bit),4,6,309,,100
5057,LNSCTCDA04,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,562,,100
6795,LNSCTCDA04,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,562,,100
7359,LNSCTCDA04,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,562,,100
7400,LNSCTCDA04,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,562,,100
5057,LNSCTCDA05,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,585,,100
6795,LNSCTCDA05,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,585,,100
7359,LNSCTCDA05,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,585,,100
7400,LNSCTCDA05,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,585,,100
3923,LNSCTCDA06,Production,Microsoft Windows Server 2008 R2 (64-bit),4,6,832,,100
5057,LNSCTCDA06,Production,Microsoft Windows Server 2008 R2 (64-bit),4,6,832,,100
7400,LNSCTCDA06,Production,Microsoft Windows Server 2008 R2 (64-bit),4,6,832,,100
5057,LNSCTCDA07,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,564,,100
6795,LNSCTCDA07,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,564,,100
7359,LNSCTCDA07,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,564,,100
7400,LNSCTCDA07,Production,Red Hat Enterprise Linux 6 (64-bit),4,8,564,,100
5057,LNSODDD203,Production,Microsoft Windows Server 2008 R2 (64-bit),2,8,129,,100
5057,LNSODDDC10,Production,Microsoft Windows Server 2008 R2 (64-bit),4,4,287,,100
57,LNSSHCD203,Development,Red Hat Enterprise Linux 6 (64-bit),4,6,192,,100
67,LNSSHCD203,Development,Red Hat Enterprise Linux 6 (64-bit),4,6,192,,100
